paper_community,reference_community,year,citations
ai,vision,2002,298
ai,vision,2003,481
ai,vision,2004,493
ai,vision,2005,724
ai,vision,2006,755
ai,vision,2007,1218
ai,vision,2008,1655
ai,vision,2009,2420
ai,vision,2010,2546
ai,vision,2011,3185
ai,vision,2012,4002
ai,vision,2013,5704
ai,vision,2014,6102
ai,vision,2015,7593
ai,vision,2016,10694
ai,vision,2017,6215
bioinformatics,ai,1991,1
bioinformatics,ai,1994,3
bioinformatics,ai,1996,3
bioinformatics,ai,1997,14
bioinformatics,ai,1998,5
bioinformatics,ai,2000,9
bioinformatics,ai,2001,18
bioinformatics,ai,2002,35
bioinformatics,ai,2003,65
bioinformatics,ai,2004,90
bioinformatics,ai,2005,179
bioinformatics,ai,2006,244
bioinformatics,ai,2007,299
bioinformatics,ai,2008,367
bioinformatics,ai,2009,398
bioinformatics,ai,2010,584
bioinformatics,ai,2011,550
bioinformatics,ai,2012,605
bioinformatics,ai,2013,600
bioinformatics,ai,2014,636
bioinformatics,ai,2015,729
bioinformatics,ai,2016,681
bioinformatics,ai,2017,182
bioinformatics,bioinformatics,1990,1
bioinformatics,bioinformatics,1991,8
bioinformatics,bioinformatics,1992,17
bioinformatics,bioinformatics,1993,24
bioinformatics,bioinformatics,1994,33
bioinformatics,bioinformatics,1995,44
bioinformatics,bioinformatics,1996,105
bioinformatics,bioinformatics,1997,152
bioinformatics,bioinformatics,1998,91
bioinformatics,bioinformatics,1999,144
bioinformatics,bioinformatics,2000,329
bioinformatics,bioinformatics,2001,377
bioinformatics,bioinformatics,2002,596
bioinformatics,bioinformatics,2003,1119
bioinformatics,bioinformatics,2004,1940
bioinformatics,bioinformatics,2005,4165
bioinformatics,bioinformatics,2006,5245
bioinformatics,bioinformatics,2007,5928
bioinformatics,bioinformatics,2008,7383
bioinformatics,bioinformatics,2009,8155
bioinformatics,bioinformatics,2010,9660
bioinformatics,bioinformatics,2011,9981
bioinformatics,bioinformatics,2012,10686
bioinformatics,bioinformatics,2013,10417
bioinformatics,bioinformatics,2014,11120
bioinformatics,bioinformatics,2015,11322
bioinformatics,bioinformatics,2016,10263
bioinformatics,bioinformatics,2017,3091
bioinformatics,computational linguistics,2000,4
bioinformatics,computational linguistics,2001,5
bioinformatics,computational linguistics,2002,10
bioinformatics,computational linguistics,2003,16
bioinformatics,computational linguistics,2004,28
bioinformatics,computational linguistics,2005,82
bioinformatics,computational linguistics,2006,67
bioinformatics,computational linguistics,2007,57
bioinformatics,computational linguistics,2008,99
bioinformatics,computational linguistics,2009,80
bioinformatics,computational linguistics,2010,113
bioinformatics,computational linguistics,2011,170
bioinformatics,computational linguistics,2012,133
bioinformatics,computational linguistics,2013,119
bioinformatics,computational linguistics,2014,104
bioinformatics,computational linguistics,2015,101
bioinformatics,computational linguistics,2016,109
bioinformatics,computational linguistics,2017,31
bioinformatics,data mining,1999,1
bioinformatics,data mining,2000,2
bioinformatics,data mining,2001,5
bioinformatics,data mining,2002,5
bioinformatics,data mining,2003,22
bioinformatics,data mining,2004,14
bioinformatics,data mining,2005,39
bioinformatics,data mining,2006,72
bioinformatics,data mining,2007,96
bioinformatics,data mining,2008,121
bioinformatics,data mining,2009,107
bioinformatics,data mining,2010,150
bioinformatics,data mining,2011,140
bioinformatics,data mining,2012,167
bioinformatics,data mining,2013,167
bioinformatics,data mining,2014,220
bioinformatics,data mining,2015,198
bioinformatics,data mining,2016,236
bioinformatics,data mining,2017,67
bioinformatics,databases,1994,1
bioinformatics,databases,1995,1
bioinformatics,databases,1997,1
bioinformatics,databases,1999,4
bioinformatics,databases,2000,5
bioinformatics,databases,2001,15
bioinformatics,databases,2002,6
bioinformatics,databases,2003,16
bioinformatics,databases,2004,19
bioinformatics,databases,2005,60
bioinformatics,databases,2006,72
bioinformatics,databases,2007,84
bioinformatics,databases,2008,117
bioinformatics,databases,2009,155
bioinformatics,databases,2010,145
bioinformatics,databases,2011,150
bioinformatics,databases,2012,158
bioinformatics,databases,2013,186
bioinformatics,databases,2014,212
bioinformatics,databases,2015,185
bioinformatics,databases,2016,199
bioinformatics,databases,2017,60
bioinformatics,graphics,1996,1
bioinformatics,graphics,2002,4
bioinformatics,graphics,2004,11
bioinformatics,graphics,2005,8
bioinformatics,graphics,2006,5
bioinformatics,graphics,2007,14
bioinformatics,graphics,2008,13
bioinformatics,graphics,2009,24
bioinformatics,graphics,2010,25
bioinformatics,graphics,2011,32
bioinformatics,graphics,2012,54
bioinformatics,graphics,2013,66
bioinformatics,graphics,2014,86
bioinformatics,graphics,2015,47
bioinformatics,graphics,2016,39
bioinformatics,graphics,2017,54
bioinformatics,hci,1998,1
bioinformatics,hci,2000,1
bioinformatics,hci,2004,1
bioinformatics,hci,2007,1
bioinformatics,hci,2011,2
bioinformatics,hci,2012,2
bioinformatics,hci,2013,2
bioinformatics,hci,2014,1
bioinformatics,hci,2015,2
bioinformatics,information theory,1997,7
bioinformatics,information theory,1998,3
bioinformatics,information theory,1999,1
bioinformatics,information theory,2000,5
bioinformatics,information theory,2001,8
